Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	ttr_lemma_chunks_100	ttr_lemma_chunks_200	ttr_form_chunks_100	ttr_form_chunks_200	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+	verbs_num_pers_dist_Sing+3	aux_tense_dist_Pres	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_form_dist_Fin	aux_form_dist_Inf	aux_num_pers_dist_+	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	prep_dist_5	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:predet	dep_dist_discourse	dep_dist_flat	dep_dist_flat:foreign	dep_dist_goeswith	dep_dist_iobj	dep_dist_list	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:npmod	dep_dist_nmod:poss	dep_dist_nmod:tmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:npmod	dep_dist_obl:tmod	dep_dist_parataxis	dep_dist_punct	dep_dist_reparandum	dep_dist_root	dep_dist_vocative	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
profiling_input/test#62#diary#F.conllu	6	128	21.333333333333332	5.373831775700935	0.87	0	0.87	0	4.6875	4.6875	1.5625	0.78125	0	1.5625	0	21.875	3.90625	0.78125	3.90625	21.09375	16.40625	0	0	2.34375	16.40625	0.616822429906542	0	100.0	50.0	50.0	66.66666666666667	0	33.333333333333336	0	100.0	0	0	0	0	100.0	0	100.0	0	0.5	33.333333333333336	2.0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	3.0	42.666666666666664	13.0	4.435643564356436	29	1.5	2	50.0	50.0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	1.5625	4.6875	4.6875	0.78125	0	5.46875	0	0	12.5	0	7.8125	0	0	1.5625	0	0	9.375	0	15.625	0	0.78125	0	2.34375	0	2.34375	0	2.34375	0	3.90625	1.5625	0.78125	0	0	0.78125	16.40625	0	4.6875	0	0	100.0	0.0	0	0	0	0	0	0
profiling_input/training#177#diary#F.conllu	11	205	18.636363636363637	4.264044943820225	0.76	0	0.75	0	3.4146341463414633	2.926829268292683	3.4146341463414633	0	0	6.829268292682927	0.4878048780487805	31.70731707317073	1.951219512195122	0	4.390243902439025	2.4390243902439024	13.170731707317072	0	0	4.390243902439025	24.878048780487806	0.5224719101123596	0	100.0	50.0	50.0	88.88888888888889	0	11.11111111111111	0	100.0	0	0	0	0	0	0	0	0	0.8181818181818182	9.090909090909092	2.0	0	37.5	37.5	12.5	0	0	12.5	3.3636363636363638	22.77777777777778	8.454545454545455	3.4011976047904193	22	1.0	5	100.0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	3.902439024390244	3.902439024390244	7.317073170731708	0	0	2.926829268292683	0	0.4878048780487805	14.634146341463415	0	1.951219512195122	0	0	6.829268292682927	0	0.4878048780487805	0.4878048780487805	0	23.902439024390244	0	0	0	2.926829268292683	0	1.951219512195122	0	3.4146341463414633	0	1.4634146341463414	2.4390243902439024	0.4878048780487805	0	0	1.951219512195122	13.170731707317072	0	5.365853658536586	0	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0
profiling_input/training#46#diary#M.conllu	31	508	16.387096774193548	4.9	0.76	0.705	0.76	0.7	3.1496062992125986	4.330708661417323	0.5905511811023622	0.3937007874015748	0	2.559055118110236	0.3937007874015748	22.834645669291337	1.5748031496062993	0	1.968503937007874	8.26771653543307	13.385826771653543	0	0	1.968503937007874	38.58267716535433	0.425	50.0	50.0	77.77777777777777	22.22222222222222	90.0	0	10.0	0	100.0	0	100.0	0	100.0	100.0	0	50.0	50.0	0.3870967741935484	22.580645161290324	2.2	0	20.0	50.0	20.0	10.0	0	0	2.903225806451613	42.333333333333336	9.35483870967742	3.941320293398533	21	1.1	10	90.0	10.0	0	0	0	0.0	100.0	83.33333333333333	16.666666666666668	0	0	0	0.3937007874015748	3.3464566929133857	4.330708661417323	0	0	4.330708661417323	0	0	13.779527559055119	0	0.7874015748031497	0.3937007874015748	0	2.559055118110236	0	0.3937007874015748	2.952755905511811	0.3937007874015748	36.41732283464567	0	0.5905511811023622	0	2.3622047244094486	0	0.3937007874015748	0.3937007874015748	1.1811023622047243	0	1.5748031496062993	1.968503937007874	0.984251968503937	0	0	0.984251968503937	13.385826771653543	0	6.102362204724409	0	0	77.77777777777777	22.22222222222222	100.0	0.0	1.0	100.0	0	0
profiling_input/training#154#diary#F.conllu	29	459	15.827586206896552	4.4716049382716045	0.79	0.715	0.77	0.705	5.228758169934641	5.010893246187364	0.6535947712418301	0.4357298474945534	0	4.357298474945534	0.6535947712418301	33.333333333333336	1.7429193899782136	0	3.7037037037037037	4.357298474945534	11.764705882352942	0	0	2.832244008714597	25.925925925925927	0.5259259259259259	0	100.0	69.23076923076923	30.76923076923077	100.0	0	0	0	100.0	0	100.0	0	100.0	100.0	0	50.0	50.0	0.5172413793103449	27.586206896551722	2.1538461538461537	0	15.384615384615385	61.53846153846154	15.384615384615385	7.6923076923076925	0	0	3.310344827586207	30.6	10.517241379310345	3.957559681697613	32	1.3333333333333333	12	83.33333333333333	0	16.666666666666668	0	0	0.0	100.0	100.0	0.0	0	0.2178649237472767	0	0.6535947712418301	5.228758169934641	4.357298474945534	0	0	5.010893246187364	0	0	20.043572984749456	0	0.4357298474945534	0.4357298474945534	0	4.357298474945534	0	0.6535947712418301	1.9607843137254901	0.2178649237472767	23.311546840958606	0	1.5250544662309369	0	3.0501089324618738	0	1.0893246187363834	0.2178649237472767	2.396514161220044	0	1.5250544662309369	2.396514161220044	1.0893246187363834	0	0	1.9607843137254901	11.546840958605664	0	6.318082788671024	0	0	80.0	20.0	100.0	0.0	1.0	100.0	0	0
profiling_input/training#93#diary#M.conllu	48	717	14.9375	5.017857142857143	0.84	0.725	0.83	0.735	6.136680613668061	4.602510460251046	1.9525801952580195	0.1394700139470014	0	2.928870292887029	0.1394700139470014	36.122733612273365	2.2315202231520224	0.1394700139470014	2.789400278940028	5.99721059972106	14.08647140864714	0	0	2.6499302649930265	20.0836820083682	0.6152597402597403	40.0	60.0	64.28571428571429	35.714285714285715	73.6842105263158	0	26.31578947368421	0	100.0	0	0	0	0	100.0	0	100.0	0	0.4166666666666667	25.0	2.5789473684210527	0	15.789473684210526	47.36842105263158	15.789473684210526	5.2631578947368425	15.789473684210526	0	3.0625	35.85	8.645833333333334	3.4325744308231174	32	1.0	19	100.0	0	0	0	0	12.5	87.5	100.0	0.0	0.1394700139470014	0.5578800557880056	0	2.092050209205021	6.2761506276150625	4.184100418410042	0.1394700139470014	0	4.741980474198048	0	0	23.570432357043234	0	0.8368200836820083	0.1394700139470014	0	2.928870292887029	0	0.1394700139470014	2.2315202231520224	0.2789400278940028	17.712691771269178	0	0.9762900976290098	0.1394700139470014	2.6499302649930265	0	0.41841004184100417	0	2.928870292887029	0	2.2315202231520224	2.2315202231520224	1.5341701534170153	0	0	0.41841004184100417	13.807531380753138	0	6.694560669456067	0	0	75.0	25.0	100.0	0.0	1.0	100.0	0	0
profiling_input/test#34#diary#M.conllu	9	114	12.666666666666666	4.426829268292683	0	0	0	0	7.894736842105263	5.2631578947368425	0.8771929824561403	0	0	1.7543859649122806	0	33.333333333333336	3.508771929824561	1.7543859649122806	1.7543859649122806	7.894736842105263	28.07017543859649	0	0	0.8771929824561403	7.017543859649122	0.7073170731707317	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0.1111111111111111	0.0	3.0	0	0	0	100.0	0	0	0	2.5555555555555554	114.0	7.777777777777778	3.472972972972973	17	1.0	2	100.0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	0.8771929824561403	8.771929824561404	7.017543859649122	0	0	6.140350877192983	0	0	20.17543859649123	0	1.7543859649122806	0	0	1.7543859649122806	0	0	1.7543859649122806	0	5.2631578947368425	0	0.8771929824561403	0.8771929824561403	1.7543859649122806	0	0	1.7543859649122806	0.8771929824561403	0	2.6315789473684212	0.8771929824561403	0.8771929824561403	0	0	0.8771929824561403	27.19298245614035	0	7.894736842105263	0	0	0	0	0	0	0	0	0	0
profiling_input/test#65#diary#M.conllu	1	140	140.0	5.081967213114754	0.84	0	0.83	0	3.5714285714285716	5.0	0.7142857142857143	0	0	2.142857142857143	0	34.285714285714285	2.142857142857143	0	2.857142857142857	0.7142857142857143	12.857142857142858	0	0	2.142857142857143	33.57142857142857	0.47540983606557374	0	0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	3.0	100.0	1.3333333333333333	0	50.0	0	50.0	0	0	0	8.0	46.666666666666664	79.0	7.4958677685950414	79	1.0	5	100.0	0	0	0	0	0.0	100.0	0	0	0	0	0	0.7142857142857143	3.5714285714285716	6.428571428571429	0	0	5.0	0	0	18.571428571428573	0	4.285714285714286	0	0	2.142857142857143	0	0	0.7142857142857143	1.4285714285714286	30.0	0	1.4285714285714286	0	3.5714285714285716	0	0.7142857142857143	0	0	0	2.142857142857143	3.5714285714285716	0.7142857142857143	0	0	0.7142857142857143	13.571428571428571	0	0.7142857142857143	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
profiling_input/training#136#diary#F.conllu	35	491	14.028571428571428	5.157360406091371	0.87	0.805	0.85	0.795	5.7026476578411405	3.258655804480652	1.0183299389002036	0.6109979633401222	0	1.629327902240326	1.629327902240326	34.82688391038697	2.443991853360489	0.4073319755600815	1.8329938900203666	5.7026476578411405	19.75560081466395	0	0	1.4256619144602851	19.75560081466395	0.6065989847715736	50.0	50.0	75.0	25.0	57.142857142857146	0	28.571428571428573	14.285714285714286	100.0	0	0	100.0	0	100.0	0	100.0	0	0.22857142857142856	17.142857142857142	2.0	16.666666666666668	0	50.0	16.666666666666668	0	16.666666666666668	0	2.6857142857142855	61.375	8.771428571428572	3.5292479108635098	26	1.0	8	100.0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	1.4256619144602851	5.7026476578411405	5.4989816700611	0.6109979633401222	0	3.4623217922606924	0	0	20.162932790224033	0	1.8329938900203666	0.20366598778004075	0	1.629327902240326	0	1.629327902240326	2.443991853360489	1.8329938900203666	15.885947046843178	0	1.2219959266802445	0.20366598778004075	1.8329938900203666	0	0.20366598778004075	0	1.4256619144602851	0	2.443991853360489	0.814663951120163	1.629327902240326	0	0	0.814663951120163	19.75560081466395	0	7.128309572301426	0.20366598778004075	0	85.71428571428571	14.285714285714286	100.0	0.0	1.0	100.0	0	0
profiling_input/training#117#diary#F.conllu	7	111	15.857142857142858	4.368421052631579	0	0	0	0	1.8018018018018018	7.207207207207207	0	0.9009009009009009	0	2.7027027027027026	0	31.53153153153153	1.8018018018018018	0	1.8018018018018018	5.405405405405405	14.414414414414415	0	0	0.9009009009009009	31.53153153153153	0.4631578947368421	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	100.0	0	0.14285714285714285	14.285714285714286	1.0	0	100.0	0	0	0	0	0	2.857142857142857	111.0	11.285714285714286	4.704545454545454	41	1.0	6	100.0	0	0	0	0	0	0	100.0	0.0	0	0	0	0	1.8018018018018018	7.207207207207207	0.9009009009009009	0	7.207207207207207	0	0	16.216216216216218	0	0	0	0	2.7027027027027026	0	0	3.6036036036036037	0	31.53153153153153	0	0	0	5.405405405405405	0	0.9009009009009009	0	0.9009009009009009	0	0.9009009009009009	0	0	0	0	0	14.414414414414415	0	6.306306306306307	0	0	100.0	0.0	0	0	0	0	0	0
profiling_input/training#150#diary#F.conllu	41	429	10.463414634146341	4.72316384180791	0.82	0.75	0.83	0.76	4.195804195804196	6.526806526806527	1.1655011655011656	0	0	2.5641025641025643	0.2331002331002331	30.76923076923077	3.4965034965034967	0	2.331002331002331	9.557109557109557	17.482517482517483	0	0	2.331002331002331	19.34731934731935	0.5819209039548022	50.0	50.0	60.0	40.0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0.24390243902439024	21.951219512195124	2.3	0	22.22222222222222	33.333333333333336	33.333333333333336	0	0	11.11111111111111	2.6341463414634148	42.9	6.2682926829268295	2.9712460063897765	18	1.0	19	100.0	0	0	0	0	12.5	87.5	100.0	0.0	0	0	0	1.1655011655011656	3.9627039627039626	4.662004662004662	0	0	6.526806526806527	0	0.2331002331002331	19.58041958041958	0	0.4662004662004662	0	0	2.331002331002331	0	0.2331002331002331	3.0303030303030303	1.8648018648018647	14.685314685314685	0	1.8648018648018647	0	4.428904428904429	0	0.6993006993006993	0.4662004662004662	1.6317016317016317	0	2.797202797202797	1.8648018648018647	0.4662004662004662	0	0	0	17.482517482517483	0	9.557109557109557	0	0	90.0	10.0	100.0	0.0	1.0	100.0	0	0
